stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
140,140,Vodajaža,,43.93439,20.8781,1,,,,,1
141,141,Vinjište Groblje,,43.96867,20.86783,1,,,,,1
142,142,Zadruga,,43.964,20.84969,1,,,,,1
143,143,Raskrsnica,,43.95892,20.84628,1,,,,,1
144,144,Uma,,43.96743,20.85998,1,,,,,1
145,145,Miloradovića Kuća,,43.95349,20.84796,1,,,,,1
146,146,Koš,,43.95713,20.8591,1,,,,,1
147,147,Bandera,,43.96083,20.86739,1,,,,,1
148,148,Samoposluga,,44.00697,20.88715,1,,,,,1
149,149,Centralna Radionica,,44.00449,20.8939,1,,,,,1
150,150,Plaza,,44.00931,20.89784,1,,,,,1
151,151,Erdoglija,,44.01262,20.89985,1,,,,,1
152,152,Erdoglijski Potok,,44.01472,20.90309,1,,,,,1
153,153,Park,,44.01612,20.907,1,,,,,1
154,154,Tehnička Škola,,44.01949,20.90927,1,,,,,1
155,155,Stara Opština,,44.00258,20.968,1,,,,,1
156,156,Živkovići,,44.0081,20.968,1,,,,,1
157,157,Izvor,,44.00546,20.96621,1,,,,,1
158,158,Trafo,,44.01577,20.9552,1,,,,,1
159,159,Spomenik,,44.01497,20.96051,1,,,,,1
160,160,Škola,,44.01891,20.95003,1,,,,,1
161,161,Galerija,,44.02234,20.88654,1,,,,,1
162,162,Hotel,,44.02384,20.87633,1,,,,,1
163,163,Roda Centar,,44.01579,20.92292,1,,,,,1
164,164,Servis,,44.02049,20.9257,1,,,,,1
165,165,Mlekara,,44.02387,20.92779,1,,,,,1
166,166,Institut Ka Centru,,44.02612,20.929,1,,,,,1
167,167,Data Centar 1,,44.03044,20.93029,1,,,,,1
168,168,Bozman Raskrsnica Ka Centru,,44.03823,20.93649,1,,,,,1
169,169,Bozman,,44.04333,20.93131,1,,,,,1
170,170,Aksića Kuće,,44.04288,20.9438,1,,,,,1
171,171,Jovanovac Raskrsnica,,44.04534,20.94763,1,,,,,1
172,172,Mesna Kancelarija,,44.04999,20.95254,1,,,,,1
173,173,Brkića Kuća,,44.05192,20.95884,1,,,,,1
174,174,Igraliste,,44.05496,20.96467,1,,,,,1
175,175,Prodavnica,,44.05789,20.97262,1,,,,,1
176,176,Trafo,,44.05992,20.97656,1,,,,,1
177,177,Erdeč Staro Selo,,43.97167,20.89907,1,,,,,1
